"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg vs 0 mg/kg"	"Defluviitaleaceae UCG-011"	0.306086687511064	0.46492990482512	0.658350182112282	0.51316294074795	1
"75 mg/kg vs 0 mg/kg"	"Falsiporphyromonas"	0.785654253250761	0.429662656655931	1.8285374376389	0.0730985935865667	1
"75 mg/kg vs 0 mg/kg"	"Tuzzerella"	-1.10745184329414	0.60277636131149	-1.8372516149847	0.0717819854463277	1
"75 mg/kg vs 0 mg/kg"	"Atopostipes"	1.19585575573091	0.598392443747393	1.99844728693755	0.0508095462137481	1
"75 mg/kg vs 0 mg/kg"	"Erysipelotrichaceae UCG-003"	-0.346949764518271	0.469817020253318	-0.738478491756645	0.463481446317564	1
"75 mg/kg vs 0 mg/kg"	"Succinivibrionaceae UCG-001"	-0.327176510168859	0.50905617339218	-0.642711997751966	0.523181810499229	1
"75 mg/kg vs 0 mg/kg"	"Tessaracoccus"	0.255673572164037	0.465736567922525	0.548966067458477	0.585334208606276	1
"75 mg/kg vs 0 mg/kg"	"Angelakisella"	-1.09476399695698	0.479304020398998	-2.28407013161635	0.0264010726662579	1
"75 mg/kg vs 0 mg/kg"	"Slackia"	0.0484642377309787	0.405426291143567	0.11953896130978	0.905300348466985	1
"75 mg/kg vs 0 mg/kg"	"Dialister"	-0.220745823916012	0.557446418466189	-0.39599469402529	0.693698652990337	1
"75 mg/kg vs 0 mg/kg"	"Catenisphaera"	-0.674272823412656	0.560282911373189	-1.20345063132497	0.234149948228821	1
"75 mg/kg vs 0 mg/kg"	"Brachybacterium"	0.844701013848358	0.362771226720835	2.3284675068742	0.0237342990901575	1
"75 mg/kg vs 0 mg/kg"	"DNF00809"	-2.36920185248683	0.603651018397485	-3.9247873030619	0.000251879219218013	0.2027627714705
"75 mg/kg vs 0 mg/kg"	"Epulopiscium"	-0.857257235801665	0.57058129666017	-1.50242785878107	0.138921910415349	1
"75 mg/kg vs 0 mg/kg"	"Veillonellaceae UCG-001"	-0.901136458006295	0.619339698269274	-1.45499547425184	0.151568047319522	1
"75 mg/kg vs 0 mg/kg"	"Lachnospiraceae UCG-010"	0.752752085305951	0.616157473345007	1.22168782798234	0.227231920047579	1
"75 mg/kg vs 0 mg/kg"	"UCG-008"	0.404359640166332	0.52860362369844	0.764958131268908	0.447689364598513	1
"75 mg/kg vs 0 mg/kg"	"Holdemania"	-0.254131899169278	0.388638268060879	-0.653903436831571	0.516001331602449	1
"75 mg/kg vs 0 mg/kg"	"UCG-002"	-1.19817674247253	0.499742169415717	-2.39758982891799	0.0200590267948791	1
"75 mg/kg vs 0 mg/kg"	"Anaerofilum"	-0.171130833700158	0.488673115614126	-0.350194901729134	0.727580372048972	1
"75 mg/kg vs 0 mg/kg"	"Veillonella"	1.18470660214615	0.480887918380446	2.46358154751747	0.0170355420260506	1
"75 mg/kg vs 0 mg/kg"	"Mycoplasma"	0.667088279493555	0.495405157931873	1.3465509367694	0.183855436029562	1
"75 mg/kg vs 0 mg/kg"	"Pseudoflavonifractor"	-0.530656787877198	0.566471814648992	-0.936775271345167	0.353123355634967	1
"75 mg/kg vs 0 mg/kg"	"UCG-004"	-0.607964080022125	0.500887762209495	-1.21377307630815	0.230215647551892	1
"75 mg/kg vs 0 mg/kg"	"Solobacterium"	-0.984696268133483	0.514502597475202	-1.9138800716763	0.0610422977601843	1
"75 mg/kg vs 0 mg/kg"	"[Eubacterium] brachy group"	-0.763639281317553	0.434055313225525	-1.75931329037962	0.0842958267230472	1
"75 mg/kg vs 0 mg/kg"	"UCG-001"	-0.539845128128734	0.56164167928681	-0.961191357475901	0.340820811306478	1
"75 mg/kg vs 0 mg/kg"	"Ruminococcus"	-1.46607964285367	0.616864310069282	-2.37666472013758	0.0211137432496986	1
"75 mg/kg vs 0 mg/kg"	"Syntrophococcus"	-1.13581531866335	0.625374389014944	-1.81621655541798	0.0749947592077012	1
"75 mg/kg vs 0 mg/kg"	"S5-A14a"	-1.01500533071089	0.554765159493382	-1.82961260876189	0.0729350569254529	1
"75 mg/kg vs 0 mg/kg"	"Trueperella"	0.744447555560763	0.299278300655227	2.48747588425523	0.0160464966365659	1
"75 mg/kg vs 0 mg/kg"	"Collinsella"	0.0259514432836254	0.502268367487702	0.0516684803652517	0.958987100761886	1
"75 mg/kg vs 0 mg/kg"	"Clostridium sensu stricto 2"	0.411876599736166	0.251635514049814	1.63679837200814	0.107597632556912	1
"75 mg/kg vs 0 mg/kg"	"[Ruminococcus] gnavus group"	-0.639708455540394	0.318348865897636	-2.00945730947284	0.0495926366038614	1
"75 mg/kg vs 0 mg/kg"	"Aliicoccus"	0.439949344899286	0.299453373869992	1.46917478074664	0.147696475435489	1
